epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,327.128,0.69496,1.27857,0.70467,0.87718,0.72688,0.57184,0.6448,0.43667,0.72688,0.57184,0.63336,0.3762,1.03856,2.03105,1.15298,0.94237,0.000283085,0.000283085,0.000283085
83,330.735,0.72382,1.31,0.73659,0.89037,0.71611,0.58977,0.64107,0.43073,0.73039,0.58057,0.62941,0.37799,1.04597,2.03171,1.15161,0.94413,0.000268938,0.000268938,0.000268938
84,335.569,0.76689,1.38423,0.68671,0.89383,0.56515,0.78738,0.65816,0.43192,0.55348,0.78738,0.65825,0.38816,1.04161,1.98124,1.12387,0.93989,0.000254791,0.000254791,0.000254791
85,339.092,0.69969,1.22628,0.67935,0.89743,0.60349,0.75794,0.64237,0.43849,0.60308,0.7692,0.64318,0.38173,1.03666,1.97428,1.13081,0.93692,0.000240644,0.000240644,0.000240644
86,342.63,0.72362,1.33447,0.6731,0.90622,0.66058,0.65027,0.64565,0.43227,0.64378,0.63783,0.63735,0.36286,1.0276,1.97399,1.15249,0.93492,0.000226497,0.000226497,0.000226497
87,346.117,0.731,1.28707,0.63495,0.87791,0.62782,0.68247,0.63783,0.41705,0.62941,0.67482,0.63307,0.39459,1.02769,1.99206,1.15491,0.93751,0.000212349,0.000212349,0.000212349
88,350.95,0.75777,1.45722,0.6778,0.88256,0.67526,0.71208,0.65853,0.42926,0.66276,0.6979,0.65228,0.36598,1.02247,2.00073,1.15214,0.93829,0.000198202,0.000198202,0.000198202
89,354.343,0.67248,1.24681,0.64549,0.87259,0.62204,0.74802,0.6531,0.43312,0.6162,0.74093,0.64749,0.3538,1.01621,1.99595,1.15958,0.93525,0.000184055,0.000184055,0.000184055
90,357.88,0.74165,1.35747,0.67084,0.87933,0.6232,0.7576,0.64932,0.42911,0.61734,0.75109,0.64414,0.35743,1.01961,1.99939,1.16324,0.93408,0.000169908,0.000169908,0.000169908
91,371.446,0.66073,1.29018,0.79424,0.87455,0.63133,0.75691,0.64039,0.4388,0.62535,0.74982,0.63487,0.35676,1.02291,2.01811,1.15628,0.93686,0.000155761,0.000155761,0.000155761
92,378.225,0.69708,1.29727,0.76358,0.88321,0.64575,0.74471,0.65761,0.44349,0.63947,0.73603,0.64655,0.35166,1.02188,2.02466,1.1502,0.94172,0.000141614,0.000141614,0.000141614
93,381.688,0.6861,1.23728,0.67255,0.8628,0.66861,0.73572,0.66183,0.43334,0.66095,0.72863,0.65281,0.35853,1.01479,2.03779,1.15519,0.93637,0.000127467,0.000127467,0.000127467
94,385.135,0.70372,1.33976,0.72117,0.8815,0.72204,0.59548,0.6536,0.41009,0.5542,0.73149,0.63612,0.36204,1.03422,2.07253,1.17259,0.94363,0.00011332,0.00011332,0.00011332
95,388.923,0.65843,1.25142,0.68118,0.86035,0.53287,0.81641,0.64587,0.41198,0.51877,0.78936,0.62682,0.36126,1.03663,2.07099,1.15889,0.94332,9.91726e-05,9.91726e-05,9.91726e-05
96,392.835,0.75239,1.47057,0.76678,0.87872,0.55146,0.86213,0.61325,0.3877,0.54001,0.84795,0.59453,0.33141,1.03409,2.0688,1.1445,0.94282,8.50255e-05,8.50255e-05,8.50255e-05
97,395.497,0.68242,1.27033,0.68054,0.86774,0.54332,0.7878,0.6348,0.39246,0.53648,0.78074,0.6222,0.33966,1.02913,2.07121,1.14022,0.94005,7.08784e-05,7.08784e-05,7.08784e-05
98,398.278,0.64466,1.22037,0.65773,0.87922,0.61854,0.76015,0.63423,0.40841,0.60559,0.74678,0.61968,0.35824,1.02048,2.0706,1.13953,0.93841,5.67313e-05,5.67313e-05,5.67313e-05
99,400.907,0.68252,1.24605,0.66485,0.87162,0.61264,0.76565,0.62876,0.40526,0.6,0.75234,0.61328,0.37759,1.00973,2.06819,1.14389,0.93393,4.25842e-05,4.25842e-05,4.25842e-05
100,404.786,0.62315,1.14577,0.63086,0.86591,0.60732,0.77266,0.63214,0.4018,0.59575,0.76052,0.61568,0.38013,1.01055,2.06536,1.14443,0.93443,2.84371e-05,2.84371e-05,2.84371e-05
